mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss,std_acc,std_calib,std_log_loss
25,16.666666666666668,16.666666666666668,1.6666666666666667,0.648,1.091,0.345,0.064,0.1,0.055
25,16.666666666666668,16.666666666666668,0.16666666666666669,0.635,1.109,0.345,0.074,0.125,0.064
25,16.666666666666668,16.666666666666668,0.016666666666666666,0.636,1.106,0.346,0.073,0.124,0.064
25,16.666666666666668,8.333333333333334,1.6666666666666667,0.636,1.184,0.284,0.086,0.158,0.046
25,16.666666666666668,8.333333333333334,0.16666666666666669,0.631,1.184,0.292,0.073,0.134,0.051
25,16.666666666666668,8.333333333333334,0.016666666666666666,0.624,1.198,0.287,0.073,0.133,0.052
25,16.666666666666668,3.3333333333333335,1.6666666666666667,0.624,1.275,0.228,0.08,0.157,0.038
25,16.666666666666668,3.3333333333333335,0.16666666666666669,0.606,1.286,0.244,0.082,0.15,0.046
25,16.666666666666668,3.3333333333333335,0.016666666666666666,0.602,1.294,0.242,0.084,0.155,0.05
25,8.333333333333334,8.333333333333334,0.8333333333333334,0.648,1.091,0.345,0.064,0.1,0.055
25,8.333333333333334,8.333333333333334,0.08333333333333334,0.635,1.109,0.345,0.074,0.125,0.064
25,8.333333333333334,8.333333333333334,0.008333333333333333,0.636,1.106,0.346,0.073,0.124,0.064
25,8.333333333333334,4.166666666666667,0.8333333333333334,0.636,1.184,0.284,0.086,0.158,0.046
25,8.333333333333334,4.166666666666667,0.08333333333333334,0.631,1.184,0.292,0.073,0.134,0.051
25,8.333333333333334,4.166666666666667,0.008333333333333333,0.624,1.198,0.287,0.073,0.133,0.052
25,8.333333333333334,1.6666666666666667,0.8333333333333334,0.624,1.275,0.228,0.08,0.157,0.038
25,8.333333333333334,1.6666666666666667,0.08333333333333334,0.606,1.286,0.244,0.082,0.15,0.046
25,8.333333333333334,1.6666666666666667,0.008333333333333333,0.602,1.294,0.242,0.084,0.155,0.05
25,1.6666666666666667,1.6666666666666667,0.16666666666666669,0.648,1.091,0.345,0.064,0.1,0.055
25,1.6666666666666667,1.6666666666666667,0.016666666666666666,0.635,1.109,0.345,0.074,0.125,0.064
25,1.6666666666666667,1.6666666666666667,0.0016666666666666668,0.636,1.106,0.346,0.073,0.124,0.064
25,1.6666666666666667,0.8333333333333334,0.16666666666666669,0.636,1.184,0.284,0.086,0.158,0.046
25,1.6666666666666667,0.8333333333333334,0.016666666666666666,0.631,1.184,0.292,0.073,0.134,0.051
25,1.6666666666666667,0.8333333333333334,0.0016666666666666668,0.624,1.198,0.287,0.073,0.133,0.052
25,1.6666666666666667,0.33333333333333337,0.16666666666666669,0.624,1.275,0.228,0.08,0.157,0.038
25,1.6666666666666667,0.33333333333333337,0.016666666666666666,0.606,1.286,0.244,0.082,0.15,0.046
25,1.6666666666666667,0.33333333333333337,0.0016666666666666668,0.602,1.294,0.242,0.084,0.155,0.05
