mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss
1500,100,10,0.01,0.607,1.334,0.207
1500,100,10,0.1,0.609,1.332,0.208
1500,100,10,1.0,0.606,1.336,0.21
1500,100,10,10.0,0.619,1.309,0.21
1500,100,10,50.0,0.602,1.335,0.201
1500,100,25,0.01,0.616,1.314,0.207
1500,100,25,0.1,0.616,1.314,0.208
1500,100,25,1.0,0.621,1.301,0.214
1500,100,25,10.0,0.618,1.294,0.215
1500,100,25,50.0,0.606,1.323,0.207
1500,100,50,0.01,0.643,1.252,0.226
1500,100,50,0.1,0.643,1.252,0.226
1500,100,50,1.0,0.641,1.254,0.225
1500,100,50,10.0,0.631,1.258,0.228
1500,100,50,50.0,0.613,1.297,0.218
1500,100,100,0.01,0.636,1.247,0.228
1500,100,100,0.1,0.636,1.247,0.228
1500,100,100,1.0,0.636,1.246,0.228
1500,100,100,10.0,0.64,1.232,0.238
1500,100,100,50.0,0.619,1.264,0.229
1500,100,175,0.01,0.64,1.205,0.253
1500,100,175,0.1,0.64,1.205,0.253
1500,100,175,1.0,0.64,1.206,0.254
1500,100,175,10.0,0.651,1.186,0.264
1500,100,175,50.0,0.624,1.242,0.241
1500,100,250,0.01,0.631,1.197,0.272
1500,100,250,0.1,0.631,1.197,0.272
1500,100,250,1.0,0.631,1.197,0.272
1500,100,250,10.0,0.635,1.192,0.277
1500,100,250,50.0,0.629,1.217,0.257
